id,catalogNumber,scientificName,longitude,latitude,scientificNameOriginal,rank,family,genus,species,subspecies,locality,coordinateUncertaintyInMetres,state,year,basisOfRecord,outlierForLayer,taxonIdentificationIssue,locationQuality,dataProvider
NA,NSW568505,Calotis glandulosa,148.7067767,-35.82178107,NA,NA,Asteraceae,NA,NA,NA,"Near Tantangera Dam, approx. 2.5 km E of the junction of Gulf Creek fire trail and Gravits Hut fire trail.",NA,NA,1999,NA,NA,NA,NA,BioNet
NA,SJOC99033003,Calotis glandulosa,148.7103918,-35.87032021,NA,NA,Asteraceae,NA,NA,NA,Crowes Yards Nungar Plain (outside NE corner of old stock yard) Specified Map No: 8626-3-N Specified Reserve: Kosciuszko NP,NA,NA,1999,NA,NA,NA,NA,BioNet
NA,SEMMI0022595,Calotis glandulosa,148.7285,-36.53764688,NA,NA,Asteraceae,NA,NA,NA,"Road verge between Jindabyne and Dalgety, Snowy River,",NA,NA,2009,NA,NA,NA,NA,BioNet
b2de16bc-0910-4d3b-932d-f3144f1c1114,NSW 568502,Calotis glandulosa,148.729,-35.7003,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Gurrangorambla Creek, E side, c. 100 m NE from turning circle.",10000,New South Wales,1998,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SDMPI0061048,Calotis glandulosa,148.7299074,-35.67533533,NA,NA,Asteraceae,NA,NA,NA,Currango Plain Specified Reserve: Kosciuszko NP,NA,NA,2003,NA,NA,NA,NA,BioNet
NA,SJJSI0663137,Calotis glandulosa,148.73036,-35.69882,NA,NA,Asteraceae,NA,NA,NA,Currango Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,NSW568502,Calotis glandulosa,148.7303846,-35.6987248,NA,NA,Asteraceae,NA,NA,NA,"Gurrangorambla Creek, E side, c. 100 m NE from turning circle.",NA,NA,1998,NA,NA,NA,NA,BioNet
NA,SDMPI0061047,Calotis glandulosa,148.7304876,-35.67406487,NA,NA,Asteraceae,NA,NA,NA,Currango Plain Specified Reserve: Kosciuszko NP,NA,NA,2003,NA,NA,NA,NA,BioNet
NA,SJJSI0663134,Calotis glandulosa,148.73142000000001,-35.69061,NA,NA,Asteraceae,NA,NA,NA,Currango Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SPJGI2758673,Calotis glandulosa,148.7316104,-35.69038798,NA,NA,Asteraceae,NA,NA,NA,"Currango Plain, Gurrangorambla Creek",NA,NA,2002,NA,NA,NA,NA,BioNet
NA,SPJGI2762770,Calotis glandulosa,148.7324531,-35.69008088,NA,NA,Asteraceae,NA,NA,NA,Gurrangorambla Creek,NA,NA,2003,NA,NA,NA,NA,BioNet
NA,SPJGI2762742,Calotis glandulosa,148.7324531,-35.69008088,NA,NA,Asteraceae,NA,NA,NA,Gurrangorambla Creek,NA,NA,2002,NA,NA,NA,NA,BioNet
NA,SJJSI0663135,Calotis glandulosa,148.73249,-35.68998,NA,NA,Asteraceae,NA,NA,NA,Currango Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663136,Calotis glandulosa,148.73265,-35.69009,NA,NA,Asteraceae,NA,NA,NA,Currango Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SPJGI4982997,Calotis glandulosa,148.7333969,-36.04779714,NA,NA,Asteraceae,NA,NA,NA,Adaminaby Old Cemetery LOCATION DETAILS: Shores of Eucumbene,NA,NA,2001,NA,NA,NA,NA,BioNet
